2	22	1	0	3	0	4	1	1	4	15	41.24	Si
2	21	1	0	4	0	1	0	0	2	8	42.81	No
2	25	1	0	1	0	2	1	1	3	24	68.59	No
1	21	1	0	4	0	7	1	1	2	10	56.45	Si
2	32	1	0	1	0	2	1	1	3	37	75	No
1	20	1	0	4	0	7	1	1	6	19	55.56	Si
2	26	1	1	1	0	1	1	1	4	16	58.05	No
1	23	1	0	3	0	5	0	0	5	17	74.22	No
1	31	1	0	3	0	4	1	1	6	24	96.1	Si
2	19	1	0	3	0	4	1	1	4	19	50.56	Si
1	21	1	0	4	0	7	1	1	4	27	73.33	Si
2	23	1	1	2	0	3	0	0	5	26	87.46	Si
1	20	1	1	2	0	1	0	1	6	19	49.5	No
1	19	1	0	3	0	4	1	1	5	21	30.5	Si
2	22	1	0	3	0	5	0	0	6	10	68.29	No
2	118	1	1	2	0	3	0	0	1	10	0	Si
1	19	1	1	2	0	3	0	0	3	24	67.87	Si
2	20	1	1	2	0	3	0	0	2	9	53.35	Si
1	20	1	1	1	0	1	1	1	4	15	51.05	No
1	20	1	0	4	0	1	0	0	3	21	69.08	No
2	21	1	0	3	0	5	0	0	2	8	46.05	No
1	24	1	0	3	0	5	0	0	6	14	60.65	No
2	22	1	0	4	0	7	0	1	3	10	63.53	Si
1	22	1	0	4	0	7	0	1	1	12	59.75	Si
1	118	1	0	3	0	5	0	0	1	10	0	No
1	22	1	0	3	0	5	0	0	2	25	70.68	No
1	32	1	0	1	0	2	1	1	2	7	56.67	No
1	24	1	0	3	0	4	1	1	3	24	73.21	Si
1	29	1	1	4	0	6	0	0	8	20	65.83	Si
1	18	1	1	2	0	3	0	0	3	10	31.43	Si
2	23	1	0	1	0	2	1	1	2	16	69.85	No
1	45	1	0	3	0	5	0	0	4	16	80.75	Si
2	22	1	0	1	0	2	1	1	5	23	71.81	No
2	24	1	1	1	0	1	1	1	1	1	78.82	No
2	23	1	0	1	0	2	1	1	1	0	84.89	Si
2	22	1	0	4	0	1	0	0	2	13	73.08	No
1	23	1	0	1	0	2	1	1	8	19	71.09	No
2	22	1	0	3	0	4	1	1	4	15	60.67	Si
1	19	1	1	2	0	3	0	0	3	12	62.27	Si
2	23	1	1	2	0	3	0	0	5	21	46.48	Si
2	23	1	0	3	0	4	1	1	5	14	74.66	Si
2	19	1	0	3	0	4	1	1	3	15	59.17	Si
1	26	1	1	2	0	3	0	0	2	8	86.17	Si
1	21	1	0	3	0	4	1	1	2	11	50.71	Si
1	23	1	0	4	0	7	1	1	2	16	75.09	Si
2	22	1	0	3	0	5	0	0	3	12	57	No
2	20	1	0	4	0	7	1	1	2	12	51.47	Si
2	25	1	0	3	0	5	0	0	2	11	63.21	No
1	19	1	0	1	0	2	1	1	3	12	52.45	No
1	21	1	1	2	0	3	0	0	5	16	67.63	Si
2	21	1	1	2	0	3	0	0	5	28	72.92	Si
2	19	1	0	4	0	7	0	1	2	8	54.69	Si
2	23	1	1	4	0	6	0	0	1	12	65.96	Si
2	21	1	0	4	0	1	0	0	3	24	73.35	No
1	18	1	1	4	0	6	0	0	6	19	52.67	Si
1	20	1	1	1	0	1	1	1	3	24	68.42	No
1	19	1	1	1	0	1	1	1	2	12	63.91	No
2	20	1	0	1	0	2	1	1	4	27	75.42	No
2	118	1	0	4	0	7	1	1	1	5	0	Si
2	38	2	0	3	0	4	1	1	1	0	0	Si
2	19	1	0	3	0	4	1	1	1	4	61.8	Si
1	118	1	0	4	0	7	0	1	1	0	0	Si
2	118	1	0	4	0	7	0	1	1	5	0	Si
2	23	1	1	4	0	6	0	0	4	16	71.53	Si
1	26	1	0	3	0	4	1	1	2	21	73.76	Si
2	118	1	0	3	0	4	1	1	1	15	0	Si
1	22	1	1	4	0	6	0	0	7	20	59.88	Si
2	118	1	0	4	0	7	0	1	1	0	0	Si
1	21	1	1	4	0	6	0	0	3	24	54.4	Si
1	19	1	0	4	0	7	0	1	5	21	44.89	Si
2	20	1	0	3	0	5	0	0	4	15	53.84	No
2	20	1	0	4	0	1	0	0	1	4	58.25	No
2	118	1	0	4	0	7	0	1	1	80	0	Si
1	27	1	0	4	0	7	1	1	1	5	75.29	Si
1	23	1	0	4	0	7	0	1	4	27	68.85	Si
2	22	1	0	4	0	7	0	1	3	10	57.81	Si
1	35	1	1	1	0	1	1	1	4	16	78.88	No
2	25	1	1	4	0	6	0	0	5	26	79.75	Si
2	22	1	0	4	0	7	1	1	8	31	59.55	Si
2	20	1	0	3	0	5	0	0	4	16	66.29	No
2	24	1	0	3	0	5	0	0	1	80	72.26	No
1	19	1	0	3	0	4	1	1	5	23	62.2	Si
2	24	1	0	4	0	7	0	1	2	16	74.72	Si
1	22	1	1	4	0	6	0	0	7	22	85.78	Si
2	26	1	0	3	0	4	1	1	4	15	66.06	Si
1	23	1	1	2	0	3	0	0	8	19	66.56	Si
2	20	1	0	3	0	5	0	0	4	17	48.45	No
2	18	1	0	3	0	4	1	1	3	13	38	Si
1	20	1	1	1	0	1	1	1	2	7	79.2	Si
1	39	1	0	4	0	7	1	1	1	0	65.44	Si
1	22	1	1	1	0	1	1	1	4	27	66.07	No
2	20	1	1	1	0	1	1	1	5	23	58.67	No
1	21	1	0	1	0	2	1	1	2	8	64.6	No
1	20	1	0	1	0	2	1	1	4	15	77.65	No
2	24	1	0	1	0	2	1	1	3	24	69.69	No
2	25	1	0	4	0	7	0	1	1	16	71.02	Si
2	22	1	0	4	0	7	1	1	8	20	65.47	Si
2	21	1	1	4	0	6	0	0	3	14	61.67	Si
2	22	1	1	2	0	3	0	0	5	28	67.54	Si
1	19	1	1	2	0	3	0	0	3	12	57.09	Si
1	32	1	0	3	0	4	1	1	5	26	71.02	Si
1	118	1	1	2	0	3	0	0	2	0	0	Si
2	23	1	0	4	0	1	0	0	5	23	74.55	No
1	29	1	0	4	0	7	0	1	2	16	39.46	Si
1	18	1	1	4	0	6	0	0	5	21	49.78	Si
1	28	1	0	3	0	4	1	1	1	0	44.29	Si
1	18	1	1	4	0	6	0	0	6	19	50.91	Si
2	22	1	1	2	0	1	0	1	2	8	36.82	No
1	35	1	1	4	0	6	0	0	1	0	0	Si
2	118	1	0	3	0	5	0	0	1	0	0	No
1	40	1	0	3	0	5	0	0	4	16	48.13	No
2	21	1	1	1	0	1	1	1	1	5	70.5	No
1	24	1	0	3	0	5	0	0	5	16	80.49	Si
1	23	1	0	3	0	5	0	0	1	6	65.57	No
2	23	1	1	2	0	1	0	1	3	29	52.52	No
2	32	1	0	1	0	2	1	1	6	24	77.31	No
1	23	1	0	4	0	7	0	1	5	26	79.62	Si
1	19	1	0	4	0	7	0	1	6	19	47.73	Si
2	25	1	1	1	0	1	1	1	7	18	70.74	No
1	118	1	0	4	0	7	0	1	1	30	0	Si
1	33	1	0	4	0	7	1	1	2	8	72.56	Si
2	34	1	0	4	0	1	0	0	1	0	0	No
1	18	1	0	4	0	1	0	0	6	19	43.22	No
2	21	1	0	4	0	7	1	1	2	18	58.7	Si
1	26	1	0	1	0	2	1	1	2	16	80.09	Si
1	24	1	0	3	0	4	1	1	1	16	84.62	Si
1	118	1	0	3	0	5	0	0	5	6	0	No
2	22	1	0	4	0	7	1	1	7	22	84.38	Si
1	24	1	0	4	0	7	0	1	3	2	64.97	Si
1	21	1	0	3	0	5	0	0	4	15	57.52	No
2	21	1	0	4	0	7	0	1	4	15	53.89	Si
1	118	1	0	4	0	1	0	0	1	3	0	No
1	24	1	0	4	0	7	0	1	8	30	76.37	Si
2	21	1	0	4	0	7	0	1	5	28	71.97	Si
2	20	1	0	4	0	1	0	0	3	11	45.17	No
2	23	1	0	4	0	7	1	1	1	10	74.26	Si
1	118	1	0	4	0	7	0	1	1	0	0	Si
2	19	1	0	3	0	5	0	0	3	13	60.39	No
2	19	1	0	3	0	5	0	0	4	16	52.39	No
2	36	1	0	3	0	4	1	1	1	0	0	Si
1	19	1	0	4	0	1	0	0	5	21	52.29	No
1	20	1	1	2	0	3	0	0	6	19	49.33	Si
1	20	1	1	4	0	6	0	0	3	24	69.76	Si
1	36	1	1	4	0	6	0	0	1	30	70.43	Si
1	23	1	0	3	0	4	1	1	7	18	70.04	Si
2	21	1	1	4	0	6	0	0	3	17	70.61	Si
1	20	1	1	2	0	1	0	1	3	12	64.55	No
1	22	1	1	2	0	3	0	0	3	29	56.35	Si
1	20	1	1	2	0	1	0	1	3	12	59.69	No
2	19	1	1	1	0	1	1	1	2	9	50.5	No
1	21	1	0	1	0	2	1	1	3	10	54.46	No
2	25	1	1	2	0	3	0	0	8	19	71.74	Si
2	21	1	1	2	0	1	0	1	2	18	70.4	No
2	20	1	0	3	0	4	1	1	4	13	36.08	Si
1	21	1	1	1	0	1	1	1	6	20	77.2	No
1	18	1	0	3	0	5	0	0	6	19	29.89	No
2	22	1	0	3	0	5	0	0	1	4	74.21	No
2	38	1	0	4	0	1	0	0	5	28	71.42	No
2	21	1	0	4	0	1	0	0	1	9	69.89	No
2	27	1	1	1	0	1	1	1	4	12	37.9	No
2	18	1	0	3	0	5	0	0	5	21	44.44	No
1	20	1	0	4	0	1	0	0	4	15	50.69	No
1	19	1	1	1	0	1	1	1	6	19	46.91	No
2	24	1	0	1	0	2	1	1	3	21	74	No
2	22	1	0	1	0	2	1	1	6	31	60.51	No
2	26	1	1	4	0	6	0	0	2	21	81.94	Si
1	23	1	1	2	0	3	0	0	5	26	81.09	Si
2	23	1	1	4	0	6	0	0	5	23	69.87	Si
1	26	1	0	3	0	4	1	1	1	5	47.13	Si
2	22	1	1	1	0	1	1	1	3	12	43.9	No
2	19	1	0	4	0	7	0	1	3	9	40.83	Si
2	23	1	0	3	0	4	1	1	5	21	43	Si
1	19	1	0	4	0	7	1	1	4	16	62.35	Si
1	23	1	1	2	0	3	0	0	3	24	75.91	Si
2	25	1	1	1	0	1	1	1	1	4	46.5	No
1	27	1	0	4	0	7	0	1	2	15	68.63	Si
1	22	1	0	4	0	1	0	0	4	27	67.13	No
2	23	1	1	2	0	1	0	1	5	23	70.5	No
2	118	1	0	3	0	4	1	1	2	25	0	Si
1	21	1	1	4	0	6	0	0	3	12	49.62	Si
1	20	1	0	3	0	5	0	0	4	15	56.68	No
2	21	1	1	2	0	3	0	0	4	15	57.04	Si
1	18	1	0	1	0	2	1	1	6	19	51.27	No
2	20	1	0	3	0	5	0	0	6	19	53.82	No
2	19	1	0	3	0	4	1	1	4	15	48.14	Si
1	18	1	0	4	0	1	0	0	6	19	48.56	No
2	24	1	0	1	0	2	1	1	5	26	83.6	Si
2	19	1	0	1	0	2	1	1	6	19	69.57	No
1	24	1	1	1	0	1	1	1	1	4	55.11	No
2	25	1	1	1	0	1	1	1	2	21	80.72	Si
2	25	1	1	4	0	6	0	0	5	23	69.5	Si
2	19	1	1	2	0	3	0	0	3	17	52.47	Si
1	22	1	1	4	0	6	0	0	6	20	71.13	Si
2	20	1	0	4	0	7	0	1	5	27	53.79	Si
2	21	1	0	1	0	2	1	1	2	19	70.42	No
1	24	1	1	2	0	3	0	0	3	14	57.24	Si
1	20	1	1	4	0	6	0	0	6	18	68.11	Si
1	21	1	0	1	0	2	1	1	3	24	57.03	No
2	21	1	0	1	0	2	1	1	3	24	70.3	No
1	36	1	1	1	0	1	1	1	1	0	52.89	No
2	25	1	1	2	0	1	0	1	8	30	72.49	No
1	23	1	0	4	0	7	1	1	5	28	64.03	Si
2	21	1	0	3	0	5	0	0	5	27	65.83	No
2	27	1	0	4	0	7	0	1	1	0	81.33	Si
1	30	1	1	4	0	6	0	0	4	16	79.98	Si
2	20	1	1	2	0	1	0	1	6	19	71.5	No
1	19	1	0	4	0	1	0	0	4	15	65.17	No
2	118	1	1	2	0	3	0	0	1	3	0	Si
1	20	1	1	4	0	6	0	0	4	27	73.42	Si
2	19	1	1	2	0	1	0	1	5	21	44.25	No
1	118	1	0	3	0	5	0	0	1	5	0	No
1	28	1	1	2	0	1	0	1	3	29	52.84	No
1	21	1	1	4	0	6	0	0	3	24	68.87	Si
1	21	1	1	2	0	3	0	0	4	17	57.68	Si
1	26	1	1	2	0	3	0	0	5	23	43.91	Si
1	21	1	0	4	0	7	0	1	7	16	75.06	Si
2	18	1	0	3	0	5	0	0	6	19	50.45	No
1	19	1	0	3	0	4	1	1	3	11	55.25	Si
1	24	1	0	3	0	5	0	0	2	16	66.12	No
2	24	1	0	4	0	7	0	1	1	10	58.88	Si
2	21	1	1	1	0	1	1	1	4	16	44.66	No
2	18	1	1	4	0	6	0	0	6	19	29.6	Si
2	34	2	0	4	0	7	0	1	3	12	49	Si
2	23	1	1	2	0	3	0	0	5	28	71.68	Si
2	19	1	1	4	0	6	0	0	3	17	73.36	Si
1	22	1	0	4	0	1	0	0	7	18	69.11	No
1	18	1	0	4	0	1	0	0	5	19	35.45	No
2	27	1	0	4	0	7	0	1	1	8	59.85	Si
1	22	1	0	3	0	4	1	1	7	22	89.65	Si
2	19	1	0	3	0	4	1	1	6	19	49.91	Si
1	21	1	1	2	0	3	0	0	5	28	75.75	Si
1	18	1	0	4	0	7	0	1	4	13	26.89	Si
1	25	1	1	1	0	1	1	1	3	29	35.52	No
1	19	1	0	4	0	7	0	1	1	5	49	Si
1	21	1	0	3	0	5	0	0	1	5	57.07	No
2	24	1	0	3	0	5	0	0	1	16	82.53	Si
1	21	1	0	3	0	5	0	0	4	16	57.76	No
2	19	1	0	4	0	1	0	0	6	19	46	No
2	25	1	1	1	0	1	1	1	3	29	66.49	No
2	23	1	1	1	0	1	1	1	8	19	66.8	No
2	21	1	0	4	0	1	0	0	5	27	65.04	No
2	24	1	0	4	0	7	1	1	3	7	70.07	Si
1	42	1	0	4	0	7	0	1	3	16	62.82	Si
2	20	1	0	4	0	1	0	0	4	17	53	No
2	23	1	1	2	0	3	0	0	5	18	48.59	Si
2	19	1	1	2	0	1	0	1	6	19	52.5	No
2	28	1	1	2	0	3	0	0	2	6	83	Si
1	22	1	0	1	0	2	1	1	5	26	90.12	Si
1	19	1	1	1	0	1	1	1	4	16	67.18	No
2	118	1	0	3	0	4	1	1	2	0	0	Si
2	20	1	0	4	0	7	1	1	5	23	64.29	Si
2	23	1	1	4	0	6	0	0	3	10	54.59	Si
2	25	1	0	4	0	1	0	0	1	16	78.86	No
1	19	1	1	1	0	1	1	1	4	15	70.88	No
1	19	1	1	2	0	1	0	1	7	25	42.53	No
2	24	1	0	1	0	2	1	1	3	24	74.13	No
1	18	1	0	1	0	2	1	1	5	21	48.78	No
2	21	1	1	2	0	3	0	0	4	16	46.83	Si
1	20	1	1	2	0	1	0	1	3	11	64.08	No
1	32	1	1	2	0	3	0	0	1	0	0	Si
1	21	1	0	1	0	2	1	1	1	9	67.81	No
2	18	1	1	1	0	1	1	1	3	10	46.2	No
2	25	1	0	3	0	5	0	0	5	21	0	No
1	31	1	0	1	0	2	1	1	1	3	77.67	No
2	25	1	1	1	0	1	1	1	1	16	82	Si
2	25	1	0	1	0	2	1	1	2	9	50.29	No
1	18	1	0	4	0	7	0	1	6	19	53.89	Si
2	22	1	1	2	0	1	0	1	5	23	71.42	No
2	47	1	0	4	0	7	0	1	3	23	69.93	Si
2	118	1	0	4	0	7	0	1	1	5	0	Si
2	18	1	1	2	0	3	0	0	6	19	56.56	Si
2	20	1	0	4	0	7	0	1	3	14	58.69	Si
2	19	1	1	2	0	1	0	1	6	19	51.18	No
2	21	1	1	1	0	1	1	1	3	13	29.55	No
2	21	1	0	4	0	7	1	1	4	27	59.15	Si
2	21	1	1	1	0	1	1	1	3	10	40.71	No
2	20	1	1	2	0	1	0	1	4	16	88.38	Si
1	18	1	1	2	0	3	0	0	5	21	46.71	Si
2	30	1	1	2	0	3	0	0	1	16	77.28	Si
1	20	1	0	4	0	7	1	1	2	15	69.22	Si
2	21	1	0	4	0	1	0	0	4	25	63.33	No
1	26	1	0	4	0	1	0	0	1	5	81.43	Si
1	118	1	1	1	0	1	1	1	1	0	0	No
1	23	1	1	2	0	1	0	1	5	13	63.33	No
1	22	1	0	4	0	7	0	1	4	17	55.72	Si
2	19	1	0	4	0	7	1	1	3	9	71	Si
2	21	1	1	2	0	3	0	0	3	17	67.67	Si
2	19	1	1	2	0	1	0	1	5	17	71.9	No
1	22	1	1	4	0	6	0	0	4	14	51.21	Si
1	23	1	0	1	0	2	1	1	5	13	75.19	No
1	20	1	0	3	0	4	1	1	3	10	63.63	Si
1	24	1	0	1	0	2	1	1	4	17	37.5	No
1	21	1	1	2	0	3	0	0	4	16	60.1	Si
1	21	1	0	1	0	2	1	1	4	27	70.34	No
2	27	1	0	3	0	4	1	1	1	0	89.57	Si
2	22	1	1	2	0	1	0	1	4	13	55.74	No
1	18	1	1	2	0	1	0	1	6	19	51.82	No
2	28	1	0	4	0	1	0	0	3	29	59.59	No
1	22	1	0	3	0	4	1	1	5	26	87.51	Si
2	19	1	0	4	0	7	0	1	5	21	48.33	Si
1	31	1	0	4	0	7	0	1	5	16	62	Si
2	23	1	0	3	0	5	0	0	2	10	57.48	No
2	21	1	0	4	0	7	0	1	4	27	69.77	Si
1	19	1	1	1	0	1	1	1	2	16	68.55	No
1	26	1	1	2	0	3	0	0	4	16	79.67	Si
1	28	1	1	1	0	1	1	1	1	3	81.66	Si
1	20	1	0	4	0	1	0	0	5	23	59.88	No
2	20	1	1	4	0	6	0	0	8	31	26.15	Si
2	23	1	1	2	0	3	0	0	1	6	58.65	Si
2	20	1	0	4	0	7	0	1	4	15	59	Si
1	19	1	0	4	0	7	0	1	5	21	49.13	Si
2	19	1	1	2	0	3	0	0	6	19	50.64	Si
1	21	1	1	2	0	1	0	1	1	9	67.31	No
1	21	1	0	1	0	2	1	1	7	20	56.66	No
2	22	1	0	3	0	5	0	0	2	12	60.43	No
1	20	1	0	4	0	7	0	1	3	14	60.04	Si
1	17	1	0	3	0	4	1	1	6	19	63.88	Si
2	19	1	1	1	0	1	1	1	6	19	47.82	No
2	37	1	0	4	0	7	0	1	4	16	71.27	Si
2	21	1	0	1	0	2	1	1	4	27	66	No
2	17	1	0	3	0	5	0	0	5	21	33.75	No
2	21	1	0	4	0	1	0	0	3	12	63.2	No
1	23	1	1	4	0	6	0	0	4	9	66.93	Si
2	118	1	1	1	0	1	1	1	1	0	0	No
1	21	1	0	4	0	7	0	1	3	24	58.07	Si
2	19	1	0	4	0	1	0	0	1	4	42.2	No
1	22	1	1	2	0	1	0	1	8	19	75.45	No
2	21	1	1	4	0	6	0	0	7	20	62.47	Si
1	29	1	1	1	0	1	1	1	2	16	80.32	Si
1	24	1	0	3	0	5	0	0	2	15	60.04	No
2	118	1	1	2	0	1	0	1	1	5	0	No
1	22	1	1	2	0	1	0	1	5	18	50.2	No
2	22	1	0	1	0	2	1	1	4	17	56.29	No
2	118	1	0	4	0	7	0	1	1	15	0	Si
1	118	1	0	4	0	7	1	1	1	5	0	Si
2	118	1	0	1	0	2	1	1	1	0	0	No
1	20	1	1	1	0	1	1	1	3	13	55.07	No
2	19	1	0	4	0	1	0	0	3	9	58.94	No
1	19	1	0	3	0	5	0	0	4	15	59.42	No
1	20	1	1	1	0	1	1	1	4	16	67	No
